property,clean_min_observed,clean_max_observed,n_values_clean,expert_lower_limit,expert_upper_limit,unit,limit_source,confirmed_by,confirmed_date,notes
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#AbrasiveParticleSize,36.75,36.75,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#AverageRemovalRate,64.3881,64.3881,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#BackingFilmUsage,9326.66666667,9532.5,203,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CarrierRotationSpeed,156.8,192.0,221,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CenterAirBagPressure,0.0,137.8125,227,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CleanroomHumidity,45.0,45.0,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#CleanroomTemperature,22.542,22.542,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ConditioningRatio,81.6,81.6,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ContactPressure,4.032,4.41,2,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#Downforce,174.72,191.1,2,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DresserTableUsage,2667.0,2675.5,219,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DresserUsage,535.185185185,547.777777778,210,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#DressingWaterStatus,0.0,1.0,223,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#EdgeAirBagPressure,0.0,106.363636364,201,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#FilmThickness,861.0,861.0,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#IonicStrength,0.02,0.02,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#MainOuterAirBagPressure,0.0,498.0,196,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#MembraneUsage,110.592885375,113.033596838,197,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ParticleConcentration,1530000000000.0,1530000000000.0,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PlatenRotationSpeed,0.0,263.026315789,208,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PolishingTableUsage,54.8148148148,341.481481481,220,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PressurizedChamberPressure,0.0,146.666666667,197,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#PressurizedSheetUsage,2798.0,2859.75,213,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#RetainingRingPressure,0.0,7066.8,212,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#RippleAirBagPressure,0.0,20.0454545455,222,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineA,0.0,26.25,208,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineB,0.0,0.909090909091,191,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryFlowLineC,0.0,450.8,207,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SlurryPH,10.506,10.506,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SolidContent,13.125,13.125,1,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#SurfaceRoughness,0.45,0.459,2,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#WaferRotationSpeed,0.0,34.8837209302,205,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#WaferToWaferUniformity,3.1,3.162,2,,,,,,,
https://vsr.informatik.tu-chemnitz.de/ontologies/cmpo#ZetaPotential,-42.0,-40.32,2,,,,,,,
